<= 100000h, 0.00123530660696, 640
<= 10m, 6.1765330348e-05, 32
<= 10s, 0.000968943619834, 502
<= 1h, 0.000104228994962, 54
<= 1m, 0.000959292786968, 497
<= 1s, 0.604804184601, 313343
<= 20m, 5.40446640545e-05, 28
<= 20s, 0.00129321160416, 670
<= 2s, 0.366909224266, 190092
<= 30m, 5.21144974811e-05, 27
<= 30s, 0.000380242814955, 197
<= 3s, 0.0157385782393, 8154
<= 45m, 9.2647995522e-05, 48
<= 4s, 0.00572873438978, 2968
<= 5m, 0.000729602964736, 378
<= 5s, 0.000550097473412, 285
<= 6s, 0.000337779150341, 175
